ortho	Lexique3__phon	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemfilms2	Lexique3__freqfilms2	Lexique3__islem	Lexique3__nblettres	Lexique3__puorth	Lexique3__puphon	Lexique3__nbsyll	Lexique3__cgramortho
comment	kom@	comment	ADV	922.93	922.93	1	7	7	4	2	ADV,CON,NOM,ONO
quelque	kElk	quelque	ADJ:ind	884.61	884.61	1	7	7	4	1	ADJ:ind,ADV
regarde	R°gaRd	regarder	VER	1197.29	613.45	0	7	0	0	2	VER
bonjour	b§ZuR	bonjour	NOM	570.57	569.88	1	7	4	3	2	NOM
comment	kom@	comment	CON	558.33	558.33	1	7	7	4	2	ADV,CON,NOM,ONO
appelle	apEl	appeler	VER	1165.48	485.77	0	7	0	4	2	VER
attends	at@	attendre	VER	1351.46	478.32	0	7	0	0	2	VER
prendre	pR@dR	prendre	VER	1913.83	465.77	1	7	5	4	1	VER
enfants	@f@	enfant	NOM	735.59	448.33	0	7	0	3	2	NOM
connais	konE	connaître	VER	961.03	415.87	0	7	7	4	2	VER
voulais	vulE	vouloir	VER	5249.3	415.76	0	7	0	0	2	VER
combien	k§bj5	combien	ADV	390.58	390.58	1	7	7	5	2	ADV
voiture	vwatyR	voiture	NOM	429.4	388.87	1	7	7	6	2	NOM,VER
travail	tRavaj	travail	NOM	389.83	367.43	1	7	7	6	2	NOM
famille	famij	famille	NOM	384.92	357.75	1	7	6	5	2	NOM
trouver	tRuve	trouver	VER	1335.49	324.94	1	7	7	5	2	VER
pendant	p@d@	pendant	PRE	312.62	312.62	1	7	6	4	2	ADJ,NOM,PRE,VER
demande	d°m@d	demander	VER	909.77	289.34	0	7	7	5	2	NOM,VER
laissez	lEse	laisser	VER	1334.1	265.61	0	7	0	0	2	VER
chambre	S@bR	chambre	NOM	288.64	263.93	1	7	7	4	1	NOM,VER
entendu	@t@dy	entendre	VER	728.67	256.43	0	7	7	5	3	VER,ADJ
importe	5pORt	importer	VER	259.37	251.39	0	7	0	0	2	VER
laisser	lese	laisser	VER	1334.1	243.13	1	7	7	4	2	VER
devrais	d°vRE	devoir	VER	3232.57	235.63	0	7	0	0	2	VER
excusez	Ekskyze	excuser	VER	399.19	230.25	0	7	0	7	3	VER
docteur	dOkt9R	docteur	NOM	233.86	223.48	1	7	6	5	2	NOM
demandé	d°m@de	demander	VER	909.77	212.89	0	7	0	6	3	VER
devrait	d°vRE	devoir	VER	3232.57	208.85	0	7	0	0	2	VER
affaire	afER	affaire	NOM	393.83	207.5	1	7	7	4	2	NOM,VER
pensais	p@sE	penser	VER	1485.47	199.51	0	7	0	0	2	VER
compris	k§pRi	comprendre	VER	893.51	198.16	0	7	7	5	2	VER,ADJ
minutes	minyt	minute	NOM	342.28	197.45	0	7	0	5	2	NOM,VER
étaient	etE	être	VER	32236.5	197.09	0	7	0	3	2	AUX,VER
endroit	@dRwa	endroit	NOM	218.24	196.75	1	7	4	4	2	NOM
appeler	ap°le	appeler	VER	1165.48	192.69	1	7	7	5	3	VER
voulait	vulE	vouloir	VER	5249.3	192.15	0	7	0	0	2	VER
semaine	s°mEn	semaine	NOM	290.85	186.01	1	7	7	5	2	NOM
bientôt	bj5to	bientôt	ADV	184.96	184.96	1	7	5	4	2	ADV
arriver	aRive	arriver	VER	1252.42	182.88	1	7	6	5	3	VER
instant	5st@	instant	NOM	189.41	182.14	1	7	7	4	2	ADJ,NOM
presque	pREsk	presque	ADV	181.81	181.81	1	7	7	5	1	ADV
arrêter	aRete	arrêter	VER	993.79	178.62	1	7	7	5	3	VER
plaisir	pleziR	plaisir	NOM	186.37	177.4	1	7	6	5	2	NOM
parents	paR@	parent	NOM	188.38	177.04	0	7	0	4	2	ADJ,NOM
d'abord	dabOR	d'abord	ADV	175.45	175.45	1	7	4	4	2	ADV
arrêtez	aREte	arrêter	VER	993.79	174.12	0	7	0	0	3	VER
nouveau	nuvo	nouveau	ADJ	209.45	170.28	1	7	7	4	2	ADJ,NOM
musique	myzik	musique	NOM	169.8	168.89	1	7	7	5	2	NOM,VER
comment	kom@	comment	ONO	167.22	167.22	1	7	7	4	2	ADV,CON,NOM,ONO
rentrer	R@tRe	rentrer	VER	532.51	166.36	1	7	7	5	2	VER
journée	ZuRne	journée	NOM	174.89	165.35	1	7	6	5	2	NOM
entends	@t@	entendre	VER	728.67	163.49	0	7	0	3	2	VER
reviens	R°vj5	revenir	VER	618.62	163.19	0	7	0	4	2	VER
croyais	kRwajE	croire	VER	1711.99	162.56	0	7	0	0	2	VER
bonsoir	b§swaR	bonsoir	NOM	161.17	161.16	1	7	5	3	2	NOM
mariage	maRjaZ	mariage	NOM	167.39	158.58	1	7	6	6	2	NOM
service	sERvis	service	NOM	187.67	156.0	1	7	6	6	2	NOM
heureux	2R2	heureux	ADJ	248.45	155.8	1	7	7	3	2	ADJ,NOM
parfois	paRfwa	parfois	ADV	152.86	152.86	1	7	5	5	2	ADV
cherche	SERS	chercher	VER	712.46	150.75	0	7	0	0	1	VER
surtout	syRtu	surtout	ADV	148.66	148.66	1	7	5	5	2	ADV,NOM
premier	pR2mje	premier	ADJ	376.98	146.12	1	7	7	6	2	ADJ,NOM
veulent	v9l	vouloir	VER	5249.3	142.38	0	7	0	0	1	VER
partout	paRtu	partout	ADV	141.94	141.94	1	7	7	5	2	ADV
changer	S@Ze	changer	VER	411.99	140.5	1	7	7	4	2	VER
dernier	dERnje	dernier	ADJ	431.08	138.57	1	7	7	6	2	ADJ,NOM
mauvais	movE	mauvais	ADJ	252.69	138.04	1	7	7	4	2	ADJ,ADV,NOM
montrer	m§tRe	montrer	VER	327.33	136.2	1	7	7	5	2	VER
souvent	suv@	souvent	ADV	135.54	135.54	1	7	7	4	2	ADV
faisait	f°zE	faire	VER	8813.48	134.9	0	7	0	0	2	VER
essayer	eseje	essayer	VER	670.4	134.69	1	7	7	5	3	VER
pouvoir	puvwaR	pouvoir	VER	5524.47	134.56	1	7	4	3	2	NOM,VER
peuvent	p9v	pouvoir	VER	5524.47	133.3	0	7	0	0	1	VER
ensuite	@s8it	ensuite	ADV	127.92	127.92	1	7	6	5	2	ADV
honneur	on9R	honneur	NOM	130.69	126.78	1	7	5	3	2	NOM
hôpital	opital	hôpital	NOM	133.15	126.08	1	7	3	4	3	NOM
pouvais	puvE	pouvoir	VER	5524.47	122.61	0	7	0	0	2	VER
dollars	dolaR	dollar	NOM	134.1	120.22	0	7	0	4	2	NOM
général	ZeneRal	général	NOM	124.83	119.61	1	7	7	7	3	ADJ,NOM
bizarre	bizaR	bizarre	ADJ	131.41	117.31	1	7	7	5	2	ADJ
cheveux	S°v2	cheveu	NOM	121.27	116.16	0	7	0	4	2	NOM
lumière	lymjER	lumière	NOM	134.83	116.02	1	7	5	4	2	NOM
rapport	RapOR	rapport	NOM	140.08	115.57	1	7	7	5	2	NOM
acheter	aS°te	acheter	VER	290.7	115.27	1	7	7	5	3	VER
content	k§t@	content	ADJ	178.94	114.75	1	7	7	4	2	VER,ADJ,NOM
médecin	mEds5	médecin	NOM	140.19	112.35	1	7	7	5	2	NOM
fallait	falE	falloir	VER	1653.76	110.88	0	7	0	0	2	VER
devenir	d°v°niR	devenir	VER	438.57	108.83	1	7	5	4	3	NOM,VER
courant	kuR@	courant	NOM	111.58	108.69	1	7	7	4	2	ADJ,NOM,VER
pouvait	puvE	pouvoir	VER	5524.47	108.02	0	7	0	0	2	VER
nouveau	nuvo	nouveau	NOM	229.97	106.48	1	7	7	4	2	ADJ,NOM
silence	sil@s	silence	NOM	106.43	105.53	1	7	7	5	2	NOM
revenir	R°v°niR	revenir	VER	618.62	105.46	1	7	6	6	3	VER
connaît	konE	connaître	VER	961.03	103.42	0	7	0	4	2	VER
colonel	kolonEl	colonel	NOM	103.7	102.86	1	7	6	7	3	NOM
message	mesaZ	message	NOM	117.11	99.7	1	7	7	5	2	NOM
désolée	dezole	désoler	VER	297.27	98.22	0	7	0	6	3	VER,ADJ
occuper	okype	occuper	VER	375.14	97.22	1	7	6	5	3	VER
appelez	ap°le	appeler	VER	1165.48	95.78	0	7	0	5	3	VER
premier	pR2mje	premier	NOM	145.76	93.68	1	7	7	6	2	ADJ,NOM
